"MARCA_VEHICULO","MODELO_VEHICULO","TIPO_VEHICULO","EDAD_VEHICULO","FECHA_ACCIDENTE","GRAVEDAD_ACCIDENTE","DEPARTAMENTO_ACCIDENTE","MUNICIPIO_ACCIDENTE","AUTORIDAD_DE_TRANSITO"
"MAZDA","2017","AUTOMOVIL","8","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2023","AUTOMOVIL","3","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2006","CAMPERO","19","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HYUNDAI","2010","AUTOMOVIL","15","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2021","AUTOMOVIL","5","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2014","AUTOMOVIL","12","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2014","AUTOMOVIL","12","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HYUNDAI","2005","AUTOMOVIL","21","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"FOTON","2018","CAMIONETA","7","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"FORD","2017","CAMIONETA","9","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2023","AUTOMOVIL","3","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2016","AUTOMOVIL","10","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2025","CAMIONETA","1","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"VICTORY","2018","MOTOCICLETA","7","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"VICTORY","2021","MOTOCICLETA","4","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HYUNDAI","2015","AUTOMOVIL","11","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2020","AUTOMOVIL","6","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2022","AUTOMOVIL","4","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HYUNDAI","1998","AUTOMOVIL","26","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"VICTORY","2023","MOTOCICLETA","3","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2011","AUTOMOVIL","14","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HYUNDAI","2021","AUTOMOVIL","4","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2013","CAMIONETA","12","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"KIA","2017","AUTOMOVIL","9","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"HYUNDAI","2019","AUTOMOVIL","6","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"VICTORY","2025","MOTOCICLETA","1","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"KIA","2012","AUTOMOVIL","14","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"VICTORY","2022","MOTOCICLETA","3","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"HYUNDAI","2015","AUTOMOVIL","10","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"COMBAT","2021","MOTOCICLETA","4","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"HERO","2021","MOTOCICLETA","4","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KENWORTH","2015","TRACTOCAMION","11","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KYMCO","2015","MOTOCICLETA","11","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"VOLKSWAGEN","2020","AUTOMOVIL","5","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HERO","2023","MOTOCICLETA","2","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"SUZUKI","2022","MOTOCICLETA","3","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"VOLVO","2005","BUS","19","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KAWASAKI","2013","MOTOCICLETA","12","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"SUZUKI","2025","MOTOCICLETA","1","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KYMCO","2019","MOTOCICLETA","6","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"SUZUKI","2025","MOTOCICLETA","1","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"VOLVO","2006","BUS","19","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KYMCO","2018","MOTOCICLETA","8","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"SUZUKI","2022","MOTOCICLETA","4","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"VOLKSWAGEN","2015","AUTOMOVIL","11","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HERO","2025","MOTOCICLETA","1","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"VOLKSWAGEN","2022","AUTOMOVIL","3","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"VOLKSWAGEN","2014","CAMPERO","11","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HYUNDAI","2007","AUTOMOVIL","19","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","STRIA TTO y GOB MCPAL SANTA ROSA CABAL"
"VICTORY","2022","MOTOCICLETA","3","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","STRIA TTO y GOB MCPAL SANTA ROSA CABAL"
"KIA","2014","AUTOMOVIL","12","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","STRIA TTO y GOB MCPAL SANTA ROSA CABAL"
"KIA","2015","CAMIONETA","11","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","STRIA TTO y GOB MCPAL SANTA ROSA CABAL"
"HYUNDAI","2011","AUTOMOVIL","15","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","STRIA TTO y GOB MCPAL SANTA ROSA CABAL"
"KYMCO","2016","MOTOCICLETA","10","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"SUZUKI","2016","MOTOCICLETA","10","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"KIA","2017","AUTOMOVIL","8","Dec 2024","CON HERIDOS","RISARALDA","LA VIRGINIA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"VICTORY","2022","MOTOCICLETA","4","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"FORD","1987","TRACTOCAMION","38","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"KIA","2018","AUTOMOVIL","7","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"KIA","2013","AUTOMOVIL","13","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"HYUNDAI","2011","AUTOMOVIL","15","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"FOTON","2018","CAMION","7","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"MAZDA","1998","CAMIONETA","27","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"NISSAN","2019","AUTOMOVIL","7","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"CHEVROLET","2008","AUTOMOVIL","18","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"NISSAN","2022","AUTOMOVIL","3","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"PEUGEOT","1995","AUTOMOVIL","30","Dec 2024","CON MUERTOS","RISARALDA","SANTA ROSA DE CABAL","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"SUZUKI","2020","CAMPERO","6","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"SUZUKI","2020","CAMIONETA","6","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"VOLVO","2014","BUS","11","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"SUZUKI","2018","AUTOMOVIL","8","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"TVS","2022","MOTOCICLETA","3","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"SUZUKI","2023","MOTOCICLETA","3","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"VOLVO","2014","BUS","11","Dec 2024","CON MUERTOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"HONDA","2021","MOTOCICLETA","5","Dec 2024","CON MUERTOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HONDA","2008","MOTOCICLETA","17","Dec 2024","CON MUERTOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"MAZDA","2009","AUTOMOVIL","17","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"CHEVROLET","2012","AUTOMOVIL","13","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"MAZDA","2024","CAMIONETA","2","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"CHEVROLET","2018","AUTOMOVIL","7","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"MAZDA","1987","AUTOMOVIL","32","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HONDA","2007","MOTOCICLETA","17","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"MAZDA","2009","AUTOMOVIL","17","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"MAZDA","2023","AUTOMOVIL","2","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"CHEVROLET","2022","AUTOMOVIL","3","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"CHEVROLET","2009","AUTOMOVIL","17","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"JEEP","1954","CAMPERO","35","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HONDA","2009","MOTOCICLETA","17","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"CHEVROLET","1985","CAMIONETA","40","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HARLEY DAVIDSON","1993","MOTOCICLETA","32","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HONDA","2012","MOTOCICLETA","13","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"MAZDA","2016","CAMIONETA","10","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"NISSAN","2015","CAMIONETA","10","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"CHEVROLET","2012","AUTOMOVIL","14","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"CHEVROLET","2015","AUTOMOVIL","11","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"CHEVROLET","2000","AUTOMOVIL","26","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"MAZDA","2023","AUTOMOVIL","2","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HONDA","2015","MOTOCICLETA","11","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"MAZDA","1990","AUTOMOVIL","35","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HONDA","2015","MOTOCICLETA","11","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"HONDA","2012","MOTOCICLETA","14","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"SUZUKI","2019","MOTOCICLETA","6","Dec 2024","CON HERIDOS","RISARALDA","LA VIRGINIA","STRIA MCPAL TTOyTTE LA VIRGINIA"
"HERO","2025","MOTOCICLETA","1","Dec 2024","CON HERIDOS","RISARALDA","LA VIRGINIA","STRIA MCPAL TTOyTTE LA VIRGINIA"
"SUZUKI","2007","MOTOCICLETA","19","Dec 2024","CON MUERTOS","RISARALDA","LA VIRGINIA","STRIA MCPAL TTOyTTE LA VIRGINIA"
"SUZUKI","2020","MOTOCICLETA","5","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"SUZUKI","2015","MOTOCICLETA","11","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"VOLKSWAGEN","2012","CAMPERO","13","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"SUZUKI","2009","MOTOCICLETA","16","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","STRIA TTO y GOB MCPAL SANTA ROSA CABAL"
"TVS","2023","MOTOCARRO","2","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","STRIA TTO y GOB MCPAL SANTA ROSA CABAL"
"VOLKSWAGEN","2023","CAMIONETA","2","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","STRIA TTO y GOB MCPAL SANTA ROSA CABAL"
"KENWORTH","2015","TRACTOCAMION","10","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"SUZUKI","2024","AUTOMOVIL","2","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"CHEVROLET","2005","BUSETA","21","Dec 2024","CON MUERTOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"MITSUBISHI","2009","MICROBUS","15","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"CHEVROLET","2016","AUTOMOVIL","10","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"CHEVROLET","2001","CAMIONETA","24","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"CHEVROLET","2024","CAMIONETA","2","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"NISSAN","2024","CAMIONETA","2","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"CHEVROLET","2017","CAMION","8","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"CHEVROLET","1989","CAMION","36","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"MAZDA","2021","CAMIONETA","4","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"CHEVROLET","2010","AUTOMOVIL","15","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"CHEVROLET","2000","AUTOMOVIL","25","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"HONDA","2018","MOTOCICLETA","7","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","STRIA MCPAL TTOyTTE DOSQUEBRADAS"
"KENWORTH","2007","TRACTOCAMION","19","Dec 2024","CON MUERTOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"CHEVROLET","2006","MICROBUS","20","Dec 2024","CON HERIDOS","RISARALDA","LA VIRGINIA","STRIA MCPAL TTOyTTE LA VIRGINIA"
"CHEVROLET","1993","CAMIONETA","32","Dec 2024","CON HERIDOS","RISARALDA","LA VIRGINIA","STRIA MCPAL TTOyTTE LA VIRGINIA"
"NISSAN","2012","CAMPERO","14","Dec 2024","CON HERIDOS","RISARALDA","LA VIRGINIA","STRIA MCPAL TTOyTTE LA VIRGINIA"
"TVS","2022","MOTOCICLETA","4","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"SUZUKI","2021","MOTOCICLETA","5","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"SUZUKI","2022","MOTOCICLETA","4","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"SUZUKI","2005","MOTOCICLETA","21","Dec 2024","CON MUERTOS","RISARALDA","SANTA ROSA DE CABAL","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"MAZDA","1996","AUTOMOVIL","29","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","STRIA TTO y GOB MCPAL SANTA ROSA CABAL"
"CHEVROLET","2021","CAMION","5","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","STRIA TTO y GOB MCPAL SANTA ROSA CABAL"
"HONDA","2008","MOTOCICLETA","17","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","STRIA TTO y GOB MCPAL SANTA ROSA CABAL"
"HONDA","2023","MOTOCICLETA","2","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","STRIA TTO y GOB MCPAL SANTA ROSA CABAL"
"TRIUMPH","2025","MOTOCICLETA","1","Dec 2024","CON HERIDOS","RISARALDA","LA VIRGINIA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"NISSAN","2018","AUTOMOVIL","8","Dec 2024","CON MUERTOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"NISSAN","2012","MICROBUS","13","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"MAZDA","2022","CAMIONETA","4","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"CHEVROLET","2011","BUS","14","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"CHERY","2012","AUTOMOVIL","13","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"MAZDA","2018","CAMIONETA","8","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"CHEVROLET","2017","BUS","8","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"CHEVROLET","2017","MICROBUS","8","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"HONDA","2024","MOTOCICLETA","2","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"NISSAN","2024","CAMIONETA","2","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"CHEVROLET","2016","AUTOMOVIL","10","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"MAZDA","2017","CAMIONETA","8","Dec 2024","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"HONDA","2024","MOTOCICLETA","2","Dec 2024","CON HERIDOS","RISARALDA","DOSQUEBRADAS","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"AKT","2011","MOTOCICLETA","14","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"AKT","2006","MOTOCICLETA","19","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"AKT","2024","MOTOCICLETA","2","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"BAJAJ","2011","MOTOCICLETA","15","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"BAJAJ","2015","MOTOCICLETA","11","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"BAJAJ","2022","MOTOCICLETA","3","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"BAJAJ","2015","MOTOCICLETA","11","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"BAJAJ","2019","MOTOCICLETA","7","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"YAMAHA","2019","MOTOCICLETA","7","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"YAMAHA","2014","MOTOCICLETA","12","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"AKT","2024","MOTOCICLETA","2","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"AKT","2021","MOTOCICLETA","5","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"YAMAHA","2023","MOTOCICLETA","3","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"YAMAHA","2015","MOTOCICLETA","11","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"AKT","2021","MOTOCICLETA","5","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"BAJAJ","2012","MOTOCICLETA","13","Dec 2024","CON MUERTOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"AKT","2017","MOTOCICLETA","8","Dec 2024","CON MUERTOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
"YAMAHA","2017","MOTOCICLETA","9","Dec 2024","CON HERIDOS","RISARALDA","PEREIRA","INSTITUTO DE MOVILIDAD DE PEREIRA"
